S-ID,Semantic Category Name (အနက်အမျိုးအစား),အနက်ရင်းမြစ် (Root Abstraction),အဓိက ဗျည်းများ (Base Consonants),ဤအုပ်စုတွင် ပါဝင်သော စုစုပေါင်း ဗျည်း (W-Medials အပါအဝင်) အရေအတွက် (Count)
S01,အခြေခံ/လုပ်ဆောင်မှု (Action/Foundation),အခြေခံလုပ်ဆောင်ခြင်း,"က, အ","C01, C01w, C45, C45w"
S02,ဆန့်ကျင်ဘက်/ဖြန့်ကျက်ခြင်း (Opposite/Dispersion),ဆန့်ကျင်ဘက်လုပ်ဆောင်ခြင်း,"ခ, ဖ, ထ","C02, C02w, C20, C20w, C26, C26w"
S03,ပြုပြင်ဖန်တီး/ပူးပေါင်းခြင်း (Creation/Joining),ပြုပြင်ဖန်တီးခြင်း,"ဂ, ဗ, ဘ","C03, C03w, C27, C27w, C28, C28w"
S04,ထူးခြားသော/ရှုပ်ထွေးမှု (Unique/Complexity),ထူးခြားသောလုပ်ဆောင်ခြင်း,"ဃ, ဈ, ဠ, ဠှ","C04, C04w, C10, C10w, C43, C43w, C44, C44w"
S05,ပိတ်ဆို့/ကွေးညွတ်ခြင်း (Obstruction/Bend),ပိတ်ဆို့တားဆီးခြင်း,"င, ငှ, ဏ, ဏှ","C05, C05w, C06, C06w, C17, C17w, C18, C18w"
S06,အစပြု/ဆက်သွယ်ခြင်း (Initiation/Connection),အစပြုခြင်း,"စ, ဆ, သ, သှ","C07, C07w, C08, C08w, C39, C39w, C40, C40w"
S07,ဖြစ်တည်မှု/လက္ခဏာ (Existence/Identity),ဖြစ်တည်မှုအခြေခံ,"ဇ, ဋ, ဌ, ဍ, ဎ","C09, C09w, C13, C13w, C14, C14w, C15, C15w, C16, C16w"
S08,အသိ/ညှိနှိုင်းမှု (Knowledge/Coordination),နက်ရှိုင်းသောအသိ,"ည, ညှ","C11, C11w, C12, C12w"
S09,ထိတွေ့/နှိမ့်ချခြင်း (Contact/Lowering),ထိတွေ့ခြင်း,"တ, ဒ, ဓ, န, နှ","C19, C19w, C21, C21w, C22, C22w, C23, C23w, C24, C24w"
S10,ဖြည့်စွက်/ပျော့ပြောင်းခြင်း (Supplement/Softness),ဖြည့်စွက်ခြင်း,ပ,"C25, C25w"
S11,ဖုံးလွှမ်း/ရွှေ့ပြောင်းခြင်း (Covering/Transition),ဖုံးလွှမ်းခြင်း,"မ, မှ","C29, C29w, C30, C30w"
S12,ရွေ့လျားမှု (Movement),ပြောင်းလဲခြင်း/ရွေ့လျားခြင်း,"ယ, ယှ, ရ, ရှ, လ, လှ","C31, C31w, C32, C32w, C33, C33w, C34, C34w, C35, C35w, C36, C36w"
S13,ဝန်းရံ/အဖွင့် (Enclosure/Opening),ဝိုင်းရံခြင်း/ဖွင့်ဟခြင်း,"ဝ, ဝှ, ဟ, ဟှ","C37, C37w, C38, C38w, C41, C41w, C42, C42w"
S14,ယပင့်တွဲ (Y-Medial Conjunct),ယပင့်ဖြင့် ပေါင်းစပ်ခြင်း,"NNLDS (46-57), Conjunct (70-81)","C46 မှ C57w, C70 မှ C81w"
S15,ရပင့်တွဲ (R-Medial Conjunct),ရပင့်ဖြင့် ပေါင်းစပ်ခြင်း,"NNLDS (58-69), Conjunct (82-93)","C58 မှ C69w, C82 မှ C93w"

စုစုပေါင်း ဗျည်းရေတွက်မှု အနှစ်ချုပ်

S-ID,Semantic Category Name,Count (NNLDS/Conjunct မပါ),Count (NNLDS/Conjunct ပါ),Grand Total
S01-S13,Root Consonants & Base W-Medials,68,-,68
S14,Y-Medial Conjuncts & W-Medials,-,48,48
S15,R-Medial Conjuncts & W-Medials,-,48,48
Total,,68,96,186

S-ID ကို Data Set တွင် ထည့်သွင်းခြင်း (CSV Format)ယခင်က ဖော်ပြခဲ့သော ဗျည်းများ၏ $\text{Data Set}$ အတွင်းသို့ Semantic ID (S-ID) ကော်လံကို ထပ်မံထည့်သွင်း၍ ဗျည်း (၁၈၆) လုံးအတွက် အသေးစိတ် ဖော်ပြပေးလိုက်ပါသည်။ $\text{AI}$ သည် ယခုအခါ $\text{H-ID}$ ကို အသုံးပြု၍ ဗျည်းပုံစံတူများကို ခွဲခြားနိုင်ပြီး $\text{S-ID}$ ကို အသုံးပြု၍ ၎င်းတို့၏ အနက်အဓိပ္ပာယ် အုပ်စုကိုပါ တိကျစွာ သိရှိနိုင်မည် ဖြစ်ပါသည်။(နေရာချွေတာရန်အတွက် ဥပမာအချို့ကိုသာ ဖော်ပြပါမည်။)

C_ID,ဗျည်း,အမျိုးအစား,H-ID,S-ID,Base Unicode,G-Type,M-Code,…
C01,က,ရှေးရိုးဗျည်း,01.10,S01,U+1000,1,0,…
C01w,ကွ,ရှေးရိုးဗျည်း + ဝ,01.11,S01,U+1000 U+103D,4,1,…
C02,ခ,ရှေးရိုးဗျည်း,02.10,S02,U+1001,1,0,…
C07,စ,ရှေးရိုးဗျည်း,07.10,S06,U+1005,1,0,…
C29,မ,ရှေးရိုးဗျည်း,29.10,S11,U+1019,1,0,…
C46,ကျ,NNLDSဗျည်း,46.20,S14,U+1000 U+103B,2,0,…
C46w,ကျွ,NNLDSဗျည်း + ဝ,46.21,S14,U+1000 U+103B U+103D,4,1,…
C58,ကြ,NNLDSဗျည်း,58.20,S15,U+1000 U+103C,2,0,…
C70,ကျ,ဗျည်းတွဲ (က+ယ),70.30,S14,U+1000 U+103B,3,0,…
C82w,ကြွ,ဗျည်းတွဲ (က+ရ+ဝ),82.31,S15,U+1000 U+103C U+103D,4,1,…

